date,maxtp,mintp,rain,people_vaccinated,total_boosters,congestion,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,Retail and Recreation,Grocery and Pharmacy,Parks,Transit Stations,Workplaces,Residential,Daily_Confirmed,Wate Qty
23-Oct-20,12.3,7.5,1.7,0,0,32,2,3,2,4,1,2,2,2,-56,0,18,-61,-50,24,188,79.76
24-Oct-20,13.2,7.6,2.8,0,0,17,2,3,2,4,1,2,2,2,-63,-5,3,-67,-34,17,252,61.66
25-Oct-20,12.4,6.9,0,0,0,17,2,3,2,4,1,2,2,2,-58,-6,47,-63,-30,14,260,24.56
26-Oct-20,12.8,5.7,0.8,0,0,14,2,3,2,4,1,2,2,2,-54,-16,75,-74,-83,31,223,69.72
27-Oct-20,13,6.5,2.1,0,0,26,2,3,2,4,1,2,2,2,-52,-4,27,-64,-59,23,194,70.94
28-Oct-20,10.8,6.4,2.5,0,0,26,2,3,2,4,1,2,2,2,-54,-7,13,-65,-58,25,233,81.8
29-Oct-20,15.5,7.1,5.9,0,0,26,2,3,2,4,1,2,2,2,-56,-8,-18,-67,-59,26,225,69.44
30-Oct-20,15.2,4.8,1.2,0,0,29,2,3,2,4,1,2,2,2,-53,0,32,-62,-57,25,79,92.58
31-Oct-20,15.8,8.3,3.3,0,0,19,2,3,2,4,1,2,2,2,-61,-1,-1,-63,-29,15,161,71.98
1-Nov-20,16.2,6.8,8,0,0,14,2,3,2,4,1,2,2,2,-65,-20,-28,-69,-32,15,306,16.1
2-Nov-20,10.8,5.2,2.5,0,0,33,2,3,2,4,1,2,2,2,-55,-14,-19,-62,-50,21,92,74.88
3-Nov-20,10.2,2.7,0.4,0,0,35,2,3,2,4,1,2,2,2,-51,-2,18,-60,-49,20,156,79.64
4-Nov-20,10.4,2.3,0.1,0,0,33,2,3,2,4,1,2,2,2,-53,-5,10,-61,-49,22,114,89.66
5-Nov-20,9.6,2.9,0.5,0,0,33,2,3,2,4,1,2,2,2,-54,-5,-10,-63,-49,23,171,94.08
6-Nov-20,11.9,4.5,0,0,0,37,2,3,2,4,1,2,2,2,-52,1,23,-60,-46,22,71,83.84
7-Nov-20,11.8,4.6,0.6,0,0,23,2,3,2,4,1,2,2,2,-56,-1,29,-62,-27,14,168,71.44
8-Nov-20,15.4,8.4,8.6,0,0,19,2,3,2,4,1,2,2,2,-57,-8,24,-63,-27,13,99,22.86
9-Nov-20,14,12,2.1,0,0,32,2,3,2,4,1,2,2,2,-51,-10,-7,-62,-49,21,75,79.34
10-Nov-20,13.1,9.9,0.2,0,0,34,2,3,2,4,1,2,2,2,-49,-2,21,-60,-48,20,87,86.9
11-Nov-20,14.4,8.3,6.2,0,0,35,2,3,2,4,1,2,2,2,-56,-11,-39,-65,-49,23,130,93.18
12-Nov-20,12.6,6.2,2.7,0,0,36,2,3,2,4,1,2,2,2,-51,-2,2,-62,-47,22,124,110.84
13-Nov-20,10.2,6.1,1.7,0,0,38,2,3,2,4,1,2,2,2,-51,2,9,-61,-46,22,150,56.02
14-Nov-20,13.3,9.4,3.1,0,0,23,2,3,2,4,1,2,2,2,-57,-3,-6,-64,-28,15,117,86.52
15-Nov-20,11.5,6.6,6.2,0,0,16,2,3,2,4,1,2,2,2,-58,-12,-27,-67,-28,14,102,13.4
16-Nov-20,14,7.2,1.4,0,0,33,2,3,2,4,1,2,2,2,-51,-11,-17,-62,-48,21,84,83.6
17-Nov-20,15.9,12.9,0,0,0,36,2,3,2,4,1,2,2,2,-48,-2,30,-60,-47,20,115,78.26
18-Nov-20,14.7,7.1,2.5,0,0,38,2,3,2,4,1,2,2,2,-52,-5,-11,-62,-47,22,166,82.98
19-Nov-20,8.4,4.5,0,0,0,37,2,3,2,4,1,2,2,2,-50,-4,1,-62,-47,22,100,103.18
20-Nov-20,12.9,7.2,2.3,0,0,38,2,3,2,4,1,2,2,2,-51,1,-10,-61,-46,22,125,57.42
21-Nov-20,11.4,6,1.6,0,0,25,2,3,2,4,1,2,2,2,-54,0,20,-61,-25,14,114,73.54
22-Nov-20,8.6,2.5,0.1,0,0,21,2,3,2,4,1,2,2,2,-53,-6,24,-62,-25,12,87,12.86
23-Nov-20,12.3,1,0.1,0,0,35,2,3,2,4,1,2,2,2,-47,-8,-3,-62,-47,20,65,67.7
24-Nov-20,14.3,5.1,4.3,0,0,38,2,3,2,4,1,2,2,2,-49,-5,-6,-61,-46,20,77,87.86
25-Nov-20,7.7,3.5,0.1,0,0,38,2,3,2,4,1,2,2,2,-47,-2,10,-60,-46,20,117,70.64
26-Nov-20,7.9,2.8,0.1,0,0,37,2,3,2,4,1,2,2,2,-47,-3,-7,-61,-46,21,62,92.98
27-Nov-20,9.5,-1.4,0,0,0,41,2,3,2,4,1,2,2,2,-46,3,8,-59,-45,21,87,62.14
28-Nov-20,10.7,1.8,0,0,0,23,2,3,2,4,1,2,2,2,-52,-2,14,-59,-23,13,93,70.18
29-Nov-20,10.6,4.1,0,0,0,19,2,3,2,4,1,2,2,2,-53,-7,8,-61,-24,12,107,16.4
30-Nov-20,10.5,3.8,0.2,0,0,37,2,3,2,4,1,2,2,2,-45,-7,-17,-60,-46,19,72,51.14
1-Dec-20,9.3,4.6,0.1,0,0,44,2,3,2,4,1,2,2,2,-24,8,10,-50,-42,16,57,61.7
2-Dec-20,9.1,4.4,0.8,0,0,47,2,3,2,4,1,2,2,2,-27,7,1,-51,-42,17,57,64.8
3-Dec-20,5.5,-0.3,1.2,0,0,47,2,3,2,4,1,2,2,2,-29,5,-18,-52,-42,18,82,57.24
4-Dec-20,7.7,-0.7,4.5,0,0,54,2,2,2,4,1,2,1,2,-28,2,-25,-50,-41,17,192,42.6
5-Dec-20,7.3,0.1,1,0,0,30,2,2,2,4,1,2,1,2,-29,3,-8,-40,-9,8,119,81.78
6-Dec-20,0.2,-2.2,0,0,0,25,2,2,2,4,1,2,1,2,-28,-3,-10,-42,-10,8,72,13.96
7-Dec-20,3.1,-3.2,1,0,0,45,2,2,2,4,1,2,1,2,-18,3,-13,-49,-45,16,68,92.34
8-Dec-20,6.6,0.4,0,0,0,48,2,2,2,4,1,2,1,2,-20,7,-1,-49,-41,15,67,48.64
9-Dec-20,8.5,1.4,4.6,0,0,53,2,2,2,4,1,2,1,2,-24,1,-20,-50,-42,17,78,79.44
10-Dec-20,9.9,6.5,2.6,0,0,53,2,2,2,4,1,2,1,2,-22,4,-11,-49,-41,16,70,47.9
